ID,EN,RUS,TH,TH 2186/2772 (78.86%)
4794,CONTINUE,ПРОДОЛЖИТЬ,เล่นต่อ,
4795,NEW GAME,НОВАЯ ИГРА,เริ่มใหม่,
4796,OPTIONS,ОПЦИИ,ตั้งค่า,
4797,LOAD,ЗАГРУЗИТЬ,โหลด,
4798,EXTRAS,ДОПОЛНИТЕЛЬНО,พิเศษ,
4799,EXIT,ВЫЙТИ,ออก,
4800,DIALOGUE VOLUME,ГРОМКОСТЬ ДИАЛОГОВ,เสียงบทสนทนา,
4801,MUSIC VOLUME,ГРОМКОСТЬ МУЗЫКИ,เสียงดนตรี,
4802,SFX VOLUME,ГРОМКОСТЬ ЭФФЕКТОВ,เสียงเอฟเฟกต์,
4803,LANGUAGE,ЯЗЫК,ภาษา,
4804,FULLSCREEN,НА ВЕСЬ ЭКРАН,เต็มหน้าจอ,
4805,CONTROLS,УПРАВЛЕНИЕ,การควบคุม,
4806,SCREEN RESOLUTION,РАЗРЕШЕНИЕ ЭКРАНА,ความละเอียดหน้าจอ,
4807,V-SYNC,ВЕРТ. СИНХРОНИЗАЦИЯ,V-SYNC,
4808,BACK,НАЗАД,ย้อนกลับ,
4809,LOAD AUTOSAVE,ЗАГРУЗИТЬ АВТОСОХРАНЕНИЕ,โหลดเซฟอัตโนมัติ,
4810,CINEMATICS,КАТ-СЦЕНЫ,ภาพยนตร์,
4811,DOLLS,КУКЛЫ,ตุ๊กตา,
4812,ART GALLERY,ГАЛЛЕРЕЯ,งานศิลป์,
4813,CREDITS,СОЗДАТЕЛИ,เครดิต,
4814,LOAD,ЗАГРУЗИТЬ,โหลด,
4815,SAVE,СОХРАНИТЬ,เซฟ,
4816,MAIN MENU,ГЛАВНОЕ МЕНЮ,เมนูหลัก,
4817,SUBTITLES,СУБТИТРЫ,คำบรรยาย,
4821,Press ENTER to continue,"НАЖМИТЕ ENTER, ЧТОБЫ ПРОДОЛЖИТЬ",กด ENTER เพื่อดำเนินการต่อ,
4823,ENGLISH,РУССКИЙ,ไทย,
4825,Post FX,Постобработка,Post FX,
4842,MAIN MENU,ГЛАВНОЕ МЕНЮ,เมนูหลัก,
4843,INPUT TYPE,УСТРОЙСТВО ВВОДА,ประเภทอินพุต,
4844,GAMEPAD,ГЕЙМПАД,จอยสติ๊ก,
4845,KEYBOARD,КЛАВИАТУРА,คีย์บอร์ด,
4846,MOUSE & KEYBOARD,МЫШЬ & КЛАВИАТУРА,เม้าส์และคีย์บอร์ด,
4847,Hold to skip,"Удерживайте, чтобы пропустить",กดค้างเพื่อข้าม,
4848,Are you sure you want to overwrite save? Yes / No,"Вы уверены, что хотите перезаписать сохранение?",แน่ใจหรือไม่ว่าต้องการ เขียนทับเซฟเดิม?,
4849,The Fox of Openfields,Лис Из Опенфилдс,จิ้งจอกแห่งโอเพ่นฟิลด์,
4850,Misfortune,Неудача,ยัยตัวซวย,
4851,Rainbow Party,Радужная Вечеринка,ปาร์ตี้สายรุ้ง,
4852,Daddy,Папа,พ่อ,
4853,The House Of Horror,Дом Ужасов,บ้านสยองขวัญ,
4854,Unicorn Ride,Верхом На Единороге,ขี่ยูนิคอร์น,
4855,Picnic With Benjamin,Пикник С Бенджамином,ปิกนิกกับเบนจามิน,
4856,Morgo Is Coming,Морго близко,มอร์โกมาแล้ว,
4862,Close,Закрыть,ปิด,
3252,Welcome to my game.,Добро пожаловать в мою игру.,ยินดีต้อนรับสู่เกมของฉัน,
3253,I'll be your host and humble narrator.,Я буду твоим ведущим и скромным рассказчиком.,ฉันจะเป็นเจ้าภาพ และผู้บรรยายแสนสุภาพของคุณ,
3254,The rules of this game are simple.,Правила игры просты.,กฎของเกมนี้ง่ายมาก,
3255,Play it until the end and you'll be rewarded.,Пройди её до конца и получишь приз.,เล่นจนกว่าจะจบ แล้วคุณจะได้รับรางวัล,
4826,This is a public Killmonday Games message. Stay calm and play the game.,Это публичное сообщение от Killmonday Games. Сохраняйте спокойствие и играйте в игру.,นี่เป็นข้อความประกาศสาธารณะจาก Killmonday Games,
2897,MORGO,,มอร์โก,
1217,SHA-DAAN! HAPPINESS TO EVERYTHING!,ТА-ДАМ! СЧАСТЬЯ ВСЕМУ!,แทน-แท้นน! ให้ทุกอย่างมีความสุข!,
113,"Before you leave, which toy do you choose to bring with you?","Прежде чем уйти, какую игрушку ты возьмёшь с собой?",ก่อนจะออกไป เธอเอาของเล่นชิ้นไหนติดตัวไปด้วยดีล่ะ?,
