EN,RUS,TH,TH 2244/2828 (79.35%)
CONTINUE,ПРОДОЛЖИТЬ,เล่นต่อ,
NEW GAME,НОВАЯ ИГРА,เริ่มใหม่,
OPTIONS,ОПЦИИ,ตั้งค่า,
LOAD,ЗАГРУЗИТЬ,โหลด,
EXTRAS,ДОПОЛНИТЕЛЬНО,พิเศษ,
EXIT,ВЫЙТИ,ออก,
DIALOGUE VOLUME,ГРОМКОСТЬ ДИАЛОГОВ,เสียงบทสนทนา,
MUSIC VOLUME,ГРОМКОСТЬ МУЗЫКИ,เสียงดนตรี,
SFX VOLUME,ГРОМКОСТЬ ЭФФЕКТОВ,เสียงเอฟเฟกต์,
LANGUAGE,ЯЗЫК,ภาษา,
FULLSCREEN,НА ВЕСЬ ЭКРАН,เต็มหน้าจอ,
CONTROLS,УПРАВЛЕНИЕ,การควบคุม,
SCREEN RESOLUTION,РАЗРЕШЕНИЕ ЭКРАНА,ความละเอียดหน้าจอ,
V-SYNC,ВЕРТ. СИНХРОНИЗАЦИЯ,V-SYNC,
BACK,НАЗАД,ย้อนกลับ,
LOAD AUTOSAVE,ЗАГРУЗИТЬ АВТОСОХРАНЕНИЕ,โหลดเซฟอัตโนมัติ,
CINEMATICS,КАТ-СЦЕНЫ,ภาพยนตร์,
DOLLS,КУКЛЫ,ตุ๊กตา,
ART GALLERY,ГАЛЛЕРЕЯ,งานศิลป์,
CREDITS,СОЗДАТЕЛИ,เครดิต,
LOAD,ЗАГРУЗИТЬ,โหลด,
SAVE,СОХРАНИТЬ,เซฟ,
MAIN MENU,ГЛАВНОЕ МЕНЮ,เมนูหลัก,
SUBTITLES,СУБТИТРЫ,คำบรรยาย,
Press ENTER to continue,"НАЖМИТЕ ENTER, ЧТОБЫ ПРОДОЛЖИТЬ",กด ENTER เพื่อดำเนินการต่อ,
ENGLISH,РУССКИЙ,ไทย,
Post FX,Постобработка,Post FX,
MAIN MENU,ГЛАВНОЕ МЕНЮ,เมนูหลัก,
INPUT TYPE,УСТРОЙСТВО ВВОДА,ประเภทอินพุต,
GAMEPAD,ГЕЙМПАД,จอยสติ๊ก,
KEYBOARD,КЛАВИАТУРА,คีย์บอร์ด,
MOUSE & KEYBOARD,МЫШЬ & КЛАВИАТУРА,เม้าส์และคีย์บอร์ด,
Hold to skip,"Удерживайте, чтобы пропустить",กดค้างเพื่อข้าม,
Are you sure you want to overwrite save? Yes / No,"Вы уверены, что хотите перезаписать сохранение?",แน่ใจหรือไม่ว่าต้องการ เขียนทับเซฟเดิม?,
The Fox of Openfields,Лис Из Опенфилдс,จิ้งจอกแห่งโอเพ่นฟิลด์,
Misfortune,Неудача,ยัยตัวซวย,
Rainbow Party,Радужная Вечеринка,ปาร์ตี้สายรุ้ง,
Daddy,Папа,พ่อ,
The House Of Horror,Дом Ужасов,บ้านสยองขวัญ,
Unicorn Ride,Верхом На Единороге,ขี่ยูนิคอร์น,
Picnic With Benjamin,Пикник С Бенджамином,ปิกนิกกับเบนจามิน,
Morgo Is Coming,Морго близко,มอร์โกมาแล้ว,
Close,Закрыть,ปิด,
Welcome to my game.,Добро пожаловать в мою игру.,ยินดีต้อนรับสู่เกมของฉัน,
I'll be your host and humble narrator.,Я буду твоим ведущим и скромным рассказчиком.,ฉันจะเป็นเจ้าภาพ และผู้บรรยายแสนสุภาพของคุณ,
The rules of this game are simple.,Правила игры просты.,กฎของเกมนี้ง่ายมาก,
Play it until the end and you'll be rewarded.,Пройди её до конца и получишь приз.,เล่นจนกว่าจะจบ แล้วคุณจะได้รับรางวัล,
This is a public Killmonday Games message. Stay calm and play the game.,Это публичное сообщение от Killmonday Games. Сохраняйте спокойствие и играйте в игру.,นี่เป็นข้อความประกาศสาธารณะจาก Killmonday Games,
MORGO,,มอร์โก,
SHA-DAAN! HAPPINESS TO EVERYTHING!,ТА-ДАМ! СЧАСТЬЯ ВСЕМУ!,แทน-แท้นน! ให้ทุกอย่างมีความสุข!,
"Before you leave, which toy do you choose to bring with you?","Прежде чем уйти, какую игрушку ты возьмёшь с собой?",ก่อนจะออกไป เธอเอาของเล่นชิ้นไหนติดตัวไปด้วยดีล่ะ?,
I choose my soft and beautiful unicorn!,Я выбираю своего мягкого и красивого единорога!,หนูเลือกยูนิคอร์นตัวนิ่มแสนสวยดีกว่า!,
I choose the stone Daddy threw at me once!,"Я выбираю камень, который папа однажды в меня бросил!",หนูเลือกหินก้อนที่พ่อเคยใช้ขว้างใส่หนูนี่แหละ!,
Interesting choice...,Интересный выбор...,น่าสนใจดีนี่...,
Perfect! You can never go wrong with a magical unicorn.,Отлично! С волшебным единорогом невозможно ошибиться.,เยี่ยม! เลือกยูนิคอร์นวิเศษไม่มีทางผิดหวังหรอก,
"Hey you, on the other side of the screen...","Эй, ты, по другую сторону экрана...",เฮ้ คุณน่ะ ที่อยู่อีกฝั่งของหน้าจอ...,
Remember I told you she was going to die today?,"Помнишь, я сказал тебе, что она умрет сегодня?",จำที่บอกได้มั้ยว่าเธอจะตายวันนี้?,
"Oh, and so you know, I like to sprinkle sparkle on things, so they become fabulous!","О, и чтобы ты знал, я люблю сыпать блёстки на вещи, чтобы они стали потрясающими!",รู้อะไรมั้ย หนูชอบโปรยกากเพชรใส่สิ่งต่างๆ มันทำให้ดูวิบวับขึ้น!,
[localvar:1],[localvar:1],[localvar:1],
Can’t I take them both?,Могу я взять обе?,หนูเอาไปทั้งคู่ไม่ได้หรอ?,
No! You can only choose one.,Нет! Выбери только одну.,ไม่! หนูเลือกได้แค่ชิ้นเดียว,
Ok... I choose...,Ладно... Я выбираю...,ก็ได้... งั้นหนูเลือก...,
"I know, right?!",Я знаю!,แน่นอนอยู่แล้ว ใช่มั้ยล่ะ?,
"Yeah, I call him Stony...","Ага, я назвала его Стоуни...",ช่าย หนูตั้งชื่อให้ว่าเจ้าหินก้อน...,
"Stony the Stone, that’s very clever.","Камень по имени Стоуни, это очень умно.",เจ้าหินก้อนที่เป็นก้อนหิน ฉลาดมากๆ,
Thank you.,Спасибо.,ขอบคุณนะ,
